Unnamed: 0,Model Unique Name,train_eng,answer_eng,GT
HAN 3x,SISR-HAN-3x,My sports photo shows a blurry runner in the distance. Can you upscale it 3x so their movement looks sharp and smooth?,"In this case, I recommend the HAN 3x model. This model excels at magnifying distant subjects 3x without blurring them, while also naturally capturing movement and silhouettes. This will help you capture your workout photos with greater clarity.","이런 경우에는 HAN 3x 모델을 추천할게. 이 모델은 멀리 있는 피사체도 흐리지 않게 3배 확대하면서, 동작이나 실루엣을 자연스럽게 살려주는 데 강점이 있어. 그래서 너의 운동 사진도 더 선명하게 표현할 수 있을 거야."
HAN 3x,SISR-HAN-3x,The athlete in this photo is tiny and unclear. I’d like to zoom in 3× and still preserve motion clarity — can you help?,"In these cases, I recommend the HAN 3x model. This model enlarges the subject while restoring the natural flow of movement. Even at 3x magnification, you can expect smooth, clear results without any awkwardness.",이런 경우에는 HAN 3x 모델을 추천할게. 이 모델은 인물의 크기를 키우면서도 동작의 흐름을 자연스럽게 복원해줘. 3배 확대해도 어색하지 않게 부드럽고 선명한 결과를 기대할 수 있어.
HAN 3x,SISR-HAN-3x,Can you enhance this field photo by 3× so the distant player’s shape and motion appear clearer and more refined?,"In this case, I recommend the HAN 3x model. This model is optimized for clearly capturing the outlines and movements of distant subjects, even when magnified three times. Your photos will also be able to be upscaled naturally while preserving detail.",이런 경우에는 HAN 3x 모델을 추천할게. 이 모델은 멀리 찍힌 인물의 윤곽이나 움직임을 3배 확대해도 선명하게 살리는 데 최적화되어 있어. 너의 사진도 디테일을 잘 살리면서 자연스럽게 업스케일링할 수 있을 거야.
HAN 8x,SISR-HAN-8x,These aerial images are blurry because the coastline was captured from far away. Can you upscale them by 8x so that terrain details are sharper?,"In this case, I recommend the HAN 8x model. This model excels at magnifying blurry images taken from a distance by up to 8x, while clearly restoring detailed curves and undulations in terrain. This allows you to capture your aerial photos with greater accuracy and clarity.",이런 경우에는 HAN 8x 모델을 추천할게. 이 모델은 먼 거리에서 촬영된 흐릿한 이미지를 8배까지 확대하면서 지형의 세부 곡선이나 굴곡을 선명하게 복원해주는 데 강점이 있어. 그래서 너의 항공 사진도 더 정확하고 선명하게 표현할 수 있어.
HAN 8x,SISR-HAN-8x,The coastline in this satellite-style photo is hard to make out. I’d like to zoom in 8× to better see the landscape — can you help?,"In these cases, I recommend the HAN 8x model. This model magnifies even blurry aerial images to a high magnification, allowing you to more clearly see the shape of the coastline and the terrain.","이런 경우에는 HAN 8x 모델을 추천할게. 이 모델은 흐릿하게 찍힌 항공 이미지도 고배율로 또렷하게 확대해줘서, 해안선의 형태나 지형을 더욱 명확하게 살펴볼 수 있도록 도와줘."
HAN 8x,SISR-HAN-8x,Can I enhance this distant coastal photo by 8× so the shoreline curves and terrain features stand out more clearly?,"In this case, I recommend the HAN 8x model. This model specializes in restoring detail without blurring even at high magnification. This allows you to naturally and clearly express curves and terrain in your coastal photos.",이런 경우에는 HAN 8x 모델을 추천할게. 이 모델은 고배율 확대 시에도 디테일을 뭉개지 않게 복원해주는 데 특화되어 있어. 그래서 너의 해안 사진에서도 곡선과 지형을 자연스럽고 선명하게 표현할 수 있어.
DRN-S 8x,SISR-DRN-S-8x,"I’m preparing a news graphic, but the aerial image is unclear. Can you upscale it 8× to make the buildings and landscape more detailed?","In these cases, I recommend the DRN-S 8x model. This model magnifies even distant images, such as aerial photographs, by eight times for a clearer image. This will help you more accurately convey terrain or building information for news articles.",이런 경우에는 DRN-S 8x 모델을 추천할게. 이 모델은 항공 사진처럼 멀리서 찍힌 이미지도 8배로 선명하게 확대해줘. 그래서 뉴스 기사에 사용할 지형이나 건물 정보를 더 정확하게 전달하는 데 도움이 될 거야.
DRN-S 8x,SISR-DRN-S-8x,Can you enhance this low-res aerial view 8 times so the urban structures and terrain lines are clearly visible?,"In these cases, I recommend the DRN-S 8x model. This model specializes in restoring blurry aerial photos to clarity at high magnification, allowing you to clearly express the outlines of urban structures and terrain.","이런 경우에는 DRN-S 8x 모델을 추천할게. 이 모델은 흐릿한 항공 사진을 고배율로 또렷하게 복원해주는 데 특화되어 있어서, 도시 구조물이나 지형의 윤곽도 더 선명하게 표현할 수 있어."
DRN-S 8x,SISR-DRN-S-8x,This aerial shot for my report is too pixelated. Can we scale it up 8x and still preserve the layout of buildings and natural features?,"In these cases, I recommend the DRN-S 8x model. This model magnifies even coarsely pixelated images by 8x while preserving maximum detail. This makes it ideal for accurately displaying building layouts and terrain in news footage.",이런 경우에는 DRN-S 8x 모델을 추천할게. 이 모델은 픽셀이 거칠게 보이는 이미지도 디테일을 최대한 살리면서 8배로 확대해줘. 그래서 뉴스용 자료에서도 건물 배치나 지형을 정확하게 보여줄 수 있어.
DRN-L 8x,SISR-DRN-L-8x,Can you upscale this vintage black-and-white photo by 8x and make both the person and background clearer?,"In these cases, I recommend the DRN-L 8x model. This model excels at enlarging blurry, small images, like old black-and-white photographs, by eight times, while naturally restoring the subject and background. This allows you to enhance the clarity of your photos while preserving their atmosphere.","이런 경우에는 DRN-L 8x 모델을 추천할게. 이 모델은 오래된 흑백 사진처럼 흐릿하고 작은 이미지를 8배로 키우면서, 인물의 모습과 배경까지 자연스럽게 복원해주는 데 강점이 있어. 덕분에 사진의 분위기를 살리면서도 선명도를 높일 수 있어."
DRN-L 8x,SISR-DRN-L-8x,I want to enhance a blurry grayscale portrait from years ago. Can it be enlarged 8× without losing background details?,"In these cases, I recommend the DRN-L 8x model. This model specializes in enlarging low-quality black-and-white images by 8x, preserving detail. This allows you to clearly express not only the people in old photos, but also the background.",이런 경우에는 DRN-L 8x 모델을 추천할게. 이 모델은 저화질의 흑백 이미지도 디테일을 살려서 8배 확대해주는 데 특화되어 있어. 그래서 예전 사진 속 인물뿐만 아니라 배경까지 또렷하게 표현할 수 있어.
DRN-L 8x,SISR-DRN-L-8x,The person in this small old photo is barely visible. Can you make it 8 times bigger and recover their shape along with the background?,"In these cases, I recommend the DRN-L 8x model. This model can restore even blurry old photos to clarity at high magnification, making even silhouettes of people and background scenery clearly visible.","이런 경우에는 DRN-L 8x 모델을 추천할게. 이 모델은 흐릿한 옛날 사진도 고배율로 선명하게 복원해줘서, 인물의 실루엣이나 배경 풍경까지도 명확하게 보이도록 만들어줄 수 있어."
RCAN-it 2x,SISR-RCAN-it-2x,The graph in the photo of the scientific experiment results is small. Can you enlarge it by 2x so that the numbers and lines are clearly visible?,"In these cases, I recommend the RCAN-it 2x model. This model maintains excellent clarity even for images with small text and thin lines, such as graphs, while magnifying them twice. This allows you to view experimental data more clearly.",이런 경우에는 RCAN-it 2x 모델을 추천할게. 이 모델은 그래프처럼 작은 텍스트와 얇은 선이 많은 이미지도 2배 확대하면서 선명도를 잘 유지해줘. 그래서 실험 데이터를 더 또렷하게 확인할 수 있어.
RCAN-it 2x,SISR-RCAN-it-2x,I need to zoom in on a graph photo from a research report. Can you make the lines and axis labels easier to see?,"In these cases, I recommend the RCAN-it 2x model. This model can clearly restore enlarged images like analytical data or graphs without blurring text or lines. This will help you accurately interpret experimental results.",이런 경우에는 RCAN-it 2x 모델을 추천할게. 이 모델은 분석 자료나 그래프 같은 이미지를 확대해도 글자나 선의 뭉개짐 없이 깔끔하게 복원해줘. 그래서 실험 결과를 정확하게 파악하는 데 도움이 될 거야.
RCAN-it 2x,SISR-RCAN-it-2x,This graph image is too small to read properly. Can you enlarge it 2× and keep the fine details intact?,"In this case, I recommend the RCAN-it 2x model. This model excels at naturally enlarging small images while preserving details like numbers and lines. It will also allow you to enhance your graph photos to create clean, sharp images.",이런 경우에는 RCAN-it 2x 모델을 추천할게. 이 모델은 작은 이미지에서도 숫자와 선 같은 디테일을 잘 보존하면서 자연스럽게 확대해주는 데 특화되어 있어. 너의 그래프 사진도 깔끔하고 또렷하게 보정할 수 있을 거야.
RCAN-it 4x,SISR-RCAN-it-4x,This map image from class is too tiny to read. Can you upscale it 4× so that place names and terrain lines become easier to see?,"In this case, I recommend the RCAN-it 4x model. This model maintains clarity even when zoomed in four times, even for images with complex text and lines, like maps. This makes even small maps much more readable.",이런 경우에는 RCAN-it 4x 모델을 추천할게. 이 모델은 지도처럼 글자와 선이 복잡한 이미지도 4배 확대해도 선명하게 유지해줘. 그래서 작은 지도도 더 보기 좋게 개선할 수 있어.
RCAN-it 4x,SISR-RCAN-it-4x,I need to enlarge a historical map to study the labels and elevation lines. Can you help scale it by 4x without losing clarity?,"In this case, I recommend the RCAN-it 4x model. This model is effective at high magnification while preserving detailed elements like text and terrain lines. It can also sharpen your map images without blurring.",이런 경우에는 RCAN-it 4x 모델을 추천할게. 이 모델은 텍스트나 지형선 같은 세밀한 요소를 보존하면서 고배율로 확대하는 데 효과적이야. 너의 지도 이미지도 뭉개짐 없이 선명하게 보정할 수 있어.
RCAN-it 4x,SISR-RCAN-it-4x,The scanned map for my presentation is low-res. Can you enlarge it 4 times so that the contour lines and city names are clearly visible?,"In this case, I recommend the RCAN-it 4x model. This model excels at clearly restoring place names and terrain lines even on low-resolution maps. It's especially useful for enlarging maps for classroom or presentation purposes.",이런 경우에는 RCAN-it 4x 모델을 추천할게. 이 모델은 저해상도 지도에서도 지명이나 지형선을 또렷하게 복원해주는 데 강점이 있어. 수업이나 발표 자료용으로 확대할 때 특히 유용할 거야.
Swin2SR 2x,SISR-Swin2SR-Classical-2x,The screenshot from my game looks soft and unclear. Can you upscale it 2× to make the interface and characters sharper?,"In this case, I recommend the Swin2SR 2x model. This model magnifies blurry game screens by 2x, naturally enhancing the clarity of the UI and characters. This will also help you sharpen your screenshots.","이런 경우에는 Swin2SR 2x 모델을 추천할게. 이 모델은 흐릿한 게임 화면을 2배 확대하면서, UI와 캐릭터의 선명도를 자연스럽게 끌어올려줘. 그래서 너의 스크린샷도 더 또렷하게 개선할 수 있어."
Swin2SR 2x,SISR-Swin2SR-Classical-2x,I want to enlarge this in-game screenshot so that the HUD and player model look cleaner. Can you help upscale it 2x?,"In this case, I recommend the Swin2SR 2x model. This model specializes in smoothly and clearly enlarging in-game interfaces and character models. Even at 2x magnification, it produces clear results without loss of detail.",이런 경우에는 Swin2SR 2x 모델을 추천할게. 이 모델은 게임 속 인터페이스와 캐릭터 모델을 부드럽고 선명하게 확대하는 데 특화되어 있어. 2배로 확대해도 정보 손실 없이 깔끔한 결과를 얻을 수 있어.
Swin2SR 2x,SISR-Swin2SR-Classical-2x,Can you improve the clarity of this game screen by enlarging it two times? The menus and characters are hard to see.,"In this case, I recommend the Swin2SR 2x model. This model magnifies various elements in game images by 2x while maintaining the detail of each element. This makes UI menus and character appearances much more vivid.",이런 경우에는 Swin2SR 2x 모델을 추천할게. 이 모델은 게임 이미지에 포함된 다양한 요소를 2배로 확대하면서도 각 요소의 디테일을 잘 유지해줘. 그래서 UI 메뉴나 캐릭터 모습도 훨씬 뚜렷하게 보이게 만들 수 있어.
Swin2SR-Cmpr 4x,SISR-Swin2SR-Compressed-4x,"The brochure was saved in low quality, and the photos and writing look fuzzy. Can you upscale it by 4× for better clarity?","In this case, I recommend the Swin2SR-Cmpr 4x model. This model magnifies the image by four times while compensating for the loss of quality caused by compression. This allows you to see the photos and text in the brochure more clearly.",이런 경우에는 Swin2SR-Cmpr 4x 모델을 추천할게. 이 모델은 압축으로 인한 화질 저하를 보정하면서 4배로 확대해줘. 그래서 브로슈어 안의 사진과 텍스트를 더 선명하게 확인할 수 있어.
Swin2SR-Cmpr 4x,SISR-Swin2SR-Compressed-4x,I want to improve the clarity of this compressed travel guide image. Can it be enlarged 4x while making both visuals and text sharper?,"In this case, I recommend the Swin2SR-Cmpr 4x model. This model effectively restores the clarity of the scene and text in compressed and blurred images by enlarging them four times. This makes travel guide images much more visually appealing.",이런 경우에는 Swin2SR-Cmpr 4x 모델을 추천할게. 이 모델은 압축되어 흐릿해진 이미지도 4배 확대하면서 사진 속 장면과 글자를 또렷하게 복원해주는 데 효과적이야. 그래서 여행 가이드 이미지를 보기 좋게 개선할 수 있어.
Swin2SR-Cmpr 4x,SISR-Swin2SR-Compressed-4x,These tourism pamphlet images are too pixelated. Can you help scale them up four times so the content is easier to read and view?,"In this case, I recommend the Swin2SR-Cmpr 4x model. This model magnifies even pixelated compressed images by four times while preserving the details necessary for conveying information. This will make your tourist brochures look sharper.",이런 경우에는 Swin2SR-Cmpr 4x 모델을 추천할게. 이 모델은 픽셀이 깨진 압축 이미지도 4배로 확대하면서 정보 전달에 필요한 디테일을 잘 살려줘. 그래서 너의 관광 팸플릿도 더 깔끔하게 볼 수 있을 거야.
Swin2SR-Real 4x,SISR-Swin2SR-Real-4x,This old film photo I scanned looks soft and unclear. Can you upscale it 4× so the people and scenery look sharper?,"In this case, I recommend the Swin2SR-Real 4x model. This model excels at restoring blurry images, like those from film, to four times the clarity. This allows it to portray people's faces and landscapes with natural, clear detail.",이런 경우에는 Swin2SR-Real 4x 모델을 추천할게. 이 모델은 필름 사진처럼 흐릿하게 보이는 이미지를 4배로 선명하게 복원하는 데 강점이 있어. 그래서 사람들의 얼굴이나 풍경도 자연스럽고 또렷하게 표현할 수 있어.
Swin2SR-Real 4x,SISR-Swin2SR-Real-4x,"I digitized a vintage photograph, but it’s lacking clarity. Can you enlarge it 4 times and enhance facial and background details?","In these cases, I recommend the Swin2SR-Real 4x model. This model enlarges low-resolution digital images by four times and smoothly restores blurry areas. It's particularly useful for naturally reproducing facial expressions and background details.",이런 경우에는 Swin2SR-Real 4x 모델을 추천할게. 이 모델은 저해상도 디지털 이미지도 4배 확대하면서 흐릿한 부분을 부드럽게 복원해줘. 특히 얼굴 표정이나 배경 디테일을 자연스럽게 되살리는 데 유용해.
Swin2SR-Real 4x,SISR-Swin2SR-Real-4x,The converted analog photo is blurry. Can you help scale it up by 4x while keeping the people’s faces and surroundings clear?,"In this case, I recommend the Swin2SR-Real 4x model. This model helps you magnify analog photos by 4x while reducing the blur that occurs after converting them to digital. It will also allow you to restore faces and background scenes with much greater clarity.",이런 경우에는 Swin2SR-Real 4x 모델을 추천할게. 이 모델은 아날로그 사진을 디지털로 옮긴 후 생긴 흐릿함을 줄이면서 4배 확대할 수 있게 도와줘. 인물의 얼굴이나 배경 장면도 훨씬 선명하게 복원할 수 있을 거야.
DETR,ObjDet-HuggingFace-facebook-detr-resnet-50,This picture was taken in a wildlife area. Can you identify the locations of the animals and trees in the image?,"In these cases, I recommend the DETR model. This model automatically detects various objects in an image and accurately indicates their locations. This makes it easy to identify the locations of animals and plants in natural environment photos.",이런 경우에는 DETR 모델을 추천할게. 이 모델은 이미지 속 다양한 객체를 자동으로 탐지하고 위치까지 정확하게 표시해줘. 그래서 자연 환경 사진 속에서 동물이나 식물이 어디에 있는지 쉽게 확인할 수 있어.
DETR,ObjDet-HuggingFace-facebook-detr-resnet-50,"Can you detect and mark where the birds, deer, and other animals appear in this nature photo?","In this case, I recommend the DETR model. This model specializes in simultaneously detecting multiple animals in a photo and visualizing their locations as rectangular boxes. This makes it easy to identify objects like deer and birds in your natural landscape photos.",이런 경우에는 DETR 모델을 추천할게. 이 모델은 사진 속에서 여러 동물을 동시에 감지하고 그 위치를 사각형 박스로 시각화해주는 데 특화되어 있어. 그래서 너의 자연 풍경 사진에서도 사슴이나 새 같은 객체를 쉽게 찾아낼 수 있어.
DETR,ObjDet-HuggingFace-facebook-detr-resnet-50,I want to know where each animal is in this picture taken at a nature reserve. Can you help detect them?,"In these cases, I recommend the DETR model. This model can accurately detect various objects even in natural scenes, effectively highlighting the locations of animals in your photos.","이런 경우에는 DETR 모델을 추천할게. 이 모델은 자연 장면에서도 다양한 객체를 정밀하게 감지할 수 있어서, 너의 사진 속 동물들의 위치를 효과적으로 표시해줄 수 있어."
YOLOS-S,ObjDet-HuggingFace-hustvl-yolos-small,"Can you detect and highlight the positions of the pitcher, hitter, and catcher in a baseball photo?","In this case, I recommend the YOLOS-S model. This model is adept at automatically detecting and visually indicating the locations of people in sports scenes. So, you can clearly identify the positions of the pitcher, batter, and catcher in your baseball photos.","이런 경우에는 YOLOS-S 모델을 추천할게. 이 모델은 스포츠 장면 속 인물의 위치를 자동으로 탐지하고 시각적으로 표시해주는 데 능숙해. 그래서 너의 야구 사진에서도 투수, 타자, 포수의 위치를 명확하게 확인할 수 있어."
YOLOS-S,ObjDet-HuggingFace-hustvl-yolos-small,I want to know where the key players are in this baseball image. Can the model find and mark them automatically?,"In these cases, I recommend the YOLOS-S model. This model specializes in automatically detecting the locations of key objects and marking them with boxes. This makes it easy to find and identify key figures in baseball game photos.",이런 경우에는 YOLOS-S 모델을 추천할게. 이 모델은 주요 객체의 위치를 자동으로 감지하고 박스로 표시해주는 데 특화되어 있어. 그래서 야구 경기 사진 속 핵심 인물들을 손쉽게 찾고 구분할 수 있어.
YOLOS-S,ObjDet-HuggingFace-hustvl-yolos-small,"This photo shows a baseball game. Can you help locate and tag where the pitcher, batter, and catcher are?","In these cases, I recommend the YOLOS-S model. This model accurately detects the positions of multiple people in an image and automatically marks them. This allows you to quickly identify key positions, even in baseball scenes.",이런 경우에는 YOLOS-S 모델을 추천할게. 이 모델은 이미지 내 여러 인물의 위치를 정확히 감지해서 자동으로 표시해줘. 덕분에 야구 경기 장면에서도 주요 포지션을 빠르게 파악할 수 있어.
YOLOS-Fashionpedia,ObjDet-HuggingFace-valentinafeve-yolos-fashionpedia,"I have street photos from abroad. Can you detect what accessories the people are wearing, like hats, shoes, or handbags?","In these cases, I recommend the YOLOS-Fashionpedia model. This model automatically recognizes various fashion items worn by pedestrians in street photos and even indicates their locations. This allows you to accurately identify items like hats, shoes, and bags in your photos.","이런 경우에는 YOLOS-Fashionpedia 모델을 추천할게. 이 모델은 거리 사진 속 보행자가 착용한 다양한 패션 아이템을 자동으로 인식하고 위치까지 표시해줘. 그래서 너의 사진에서도 모자, 신발, 가방 같은 아이템들을 정확하게 찾아낼 수 있어."
YOLOS-Fashionpedia,ObjDet-HuggingFace-valentinafeve-yolos-fashionpedia,"Can this model analyze fashion items like bags, hats, and footwear from photos taken in public places?","In this case, I recommend the YOLOS-Fashionpedia model. This model specializes in fashion-focused object detection, allowing it to precisely identify items worn even in photos taken in public places. Therefore, it's useful for analyzing people's style even in street photos.","이런 경우에는 YOLOS-Fashionpedia 모델을 추천할게. 이 모델은 패션 중심의 객체 탐지에 특화되어 있어서, 공공장소에서 찍힌 사진 속에서도 착용 아이템을 세밀하게 인식해줘. 그래서 거리에서 찍은 사진에서도 사람들의 스타일을 분석하는 데 유용해."
YOLOS-Fashionpedia,ObjDet-HuggingFace-valentinafeve-yolos-fashionpedia,"I want to detect visible fashion items from pedestrians in international street photography — things like shoes, hats, and bags.","In these cases, I recommend the YOLOS-Fashionpedia model. This model effectively detects and locates fashion items like hats, bags, and shoes, even in scenes featuring a diverse range of people, such as street photos from overseas. Therefore, it's ideal for use in images requiring outfit analysis.","이런 경우에는 YOLOS-Fashionpedia 모델을 추천할게. 이 모델은 해외 거리 사진처럼 다양한 사람이 나오는 장면에서도 모자, 가방, 신발 같은 패션 아이템을 효과적으로 탐지하고 위치를 표시해줘. 그래서 착장 분석이 필요한 이미지에도 잘 활용할 수 있어."
DeepLabV3-MobileNet,Segmentation-DeepLabV3-MobileNet-VOC,"Can you segment a street scene to clearly separate vehicles, pedestrians, and roads so it’s easy to view on mobile?","In these cases, I recommend the DeepLabV3-MobileNet model. This model automatically segments objects like vehicles, people, and roads from images and displays them as colored regions. This allows for clearer scene recognition even on small screens like smartphones.","이런 경우에는 DeepLabV3-MobileNet 모델을 추천할게. 이 모델은 차량, 사람, 도로 같은 객체를 이미지에서 자동으로 분리해 색상 영역으로 표시해줘. 그래서 스마트폰 같은 작은 화면에서도 장면을 명확하게 구분할 수 있어."
DeepLabV3-MobileNet,Segmentation-DeepLabV3-MobileNet-VOC,"I want to highlight different objects in a city photo — especially people, cars, and the road — for better clarity. Can you help?","In this case, I recommend the DeepLabV3-MobileNet model. This model specializes in visually segmenting and segmenting various objects in urban scenes. Therefore, it can easily distinguish people, vehicles, and roads in your street photos.","이런 경우에는 DeepLabV3-MobileNet 모델을 추천할게. 이 모델은 도시 장면 속 다양한 객체를 분리해서 시각적으로 나눠주는 데 특화되어 있어. 그래서 너의 거리 사진에서도 사람과 차량, 도로를 한눈에 보기 좋게 구별할 수 있어."
DeepLabV3-MobileNet,Segmentation-DeepLabV3-MobileNet-VOC,"Can you process this street photo so that the road, people, and cars are shown in separate zones or colors?","In this case, I recommend the DeepLabV3-MobileNet model. This model segments elements within an image based on their meaning and visualizes them as distinct regions. Therefore, it's useful for accurately distinguishing roads, people, and vehicles in street photos.","이런 경우에는 DeepLabV3-MobileNet 모델을 추천할게. 이 모델은 이미지 안의 요소들을 의미별로 분할해서 각기 다른 영역으로 시각화해줘. 그래서 거리 사진에서도 도로, 사람, 차량을 정확히 구분하는 데 유용해."
DeepLabV3-ResNet101,Segmentation-DeepLabV3-ResNet101-VOC,"I took a photo at a terrace café. Can you segment out the chairs, tables, and greenery so that each category has its own color?","In this case, I recommend the DeepLabV3-ResNet101 model. This model specializes in precisely segmenting various objects in outdoor scenes and displaying them by color. This makes it easy to distinguish tables, chairs, and plants in cafe photos at a glance.","이런 경우에는 DeepLabV3-ResNet101 모델을 추천할게. 이 모델은 야외 장면에서 다양한 사물을 정밀하게 분리해 색상별로 표시해주는 데 특화되어 있어. 그래서 카페 사진 속 테이블, 의자, 식물을 한눈에 구별하기 쉽게 표현할 수 있어."
DeepLabV3-ResNet101,Segmentation-DeepLabV3-ResNet101-VOC,"Can this model highlight the tables, chairs, and plants in an outdoor café image using different colored regions?","In this case, I recommend the DeepLabV3-ResNet101 model. This model excels at segmenting objects in an image into regions and visualizing them with different colors. It would also be useful for distinguishing elements in your cafe photo by assigning different colors to them.",이런 경우에는 DeepLabV3-ResNet101 모델을 추천할게. 이 모델은 이미지 속 객체를 영역별로 분할하고 각기 다른 색으로 시각화해주는 데 강점이 있어. 너의 카페 사진도 요소별로 색을 달리해 구분하는 데 유용할 거야.
DeepLabV3-ResNet101,Segmentation-DeepLabV3-ResNet101-VOC,I’d like to visualize café furniture and plants separately in this image. Can you segment them by assigning unique colors?,"In this case, I recommend the DeepLabV3-ResNet101 model. This model specializes in distinguishing and color-coding individual objects even in complex scenes, allowing you to clearly identify elements like tables, chairs, and plants.","이런 경우에는 DeepLabV3-ResNet101 모델을 추천할게. 이 모델은 복잡한 장면에서도 각 객체를 구별하고 색상으로 표시해주는 기능에 특화되어 있어서, 테이블, 의자, 식물 같은 요소들을 명확하게 나눠볼 수 있어."
DeepLabV3+ ResNet101,Segmentation-DeepLabV3Plus-ResNet101-VOC,"I’d like to segment a farm image so the animals, fences, and land areas appear in different colors. Can you help?","In this case, I recommend the DeepLabV3+ ResNet101 model. This model excels at automatically segmenting multiple objects in a scene and displaying them in different colors. This allows you to more clearly display each element in your farm photos.","이런 경우에는 DeepLabV3+ ResNet101 모델을 추천할게. 이 모델은 장면 속 여러 객체를 자동으로 분리하고, 각각 다른 색으로 구분해서 보여주는 데 강점이 있어. 그래서 너의 농장 사진도 각 요소를 더 명확하게 표현할 수 있어."
DeepLabV3+ ResNet101,Segmentation-DeepLabV3Plus-ResNet101-VOC,"Can this model separate the cows, horses, and fenced areas in a farmland image using color-coded segmentation?","In this case, I recommend the DeepLabV3+ ResNet101 model. This model specializes in recognizing various objects, such as livestock, fences, and fields, and visualizing them in different colors. This makes it easier to interpret farm images.","이런 경우에는 DeepLabV3+ ResNet101 모델을 추천할게. 이 모델은 가축, 울타리, 들판 같은 다양한 객체를 인식하고 각기 다른 색으로 시각화해주는 데 특화되어 있어. 그래서 농장 사진을 더 쉽게 해석할 수 있게 도와줘."
DeepLabV3+ ResNet101,Segmentation-DeepLabV3Plus-ResNet101-VOC,This photo of a field contains animals and structures. Can you segment each element with color to make it more readable?,"In this case, I recommend the DeepLabV3+ ResNet101 model. This model is adept at precisely segmenting and color-coding objects even in complex scenes. This makes it easier to identify animals and structures in farm photos.",이런 경우에는 DeepLabV3+ ResNet101 모델을 추천할게. 이 모델은 복잡한 장면도 객체별로 정밀하게 분할하고 색상으로 구분해주는 데 능숙해. 덕분에 농장 사진의 동물과 구조물을 더 쉽게 식별할 수 있어.
SwinIR (Jpeg10),Restoration-SwinIR-Jpeg10,The image I saved looks a bit blocky due to compression. Can you remove those marks and make it look clean?,"In these cases, I recommend the SwinIR (Jpeg10) model. This model naturally removes block noise and edge artifacts caused by compression, allowing you to refine your images to create smooth, clean images.",이런 경우에는 SwinIR (Jpeg10) 모델을 추천할게. 이 모델은 압축으로 생긴 블록 노이즈나 경계 자국을 자연스럽게 제거해줘. 그래서 너의 이미지도 매끄럽고 깨끗하게 보정할 수 있어.
SwinIR (Jpeg10),Restoration-SwinIR-Jpeg10,This JPEG file has some visible compression artifacts. Could you help smooth them out while keeping the image quality?,"In this case, I recommend the SwinIR (Jpeg10) model. This model reduces artifacts and noise commonly found in JPEG images while maintaining the original quality. This allows you to restore your photos to a more natural and pleasing appearance.",이런 경우에는 SwinIR (Jpeg10) 모델을 추천할게. 이 모델은 JPEG 이미지에 흔히 생기는 인위적인 자국이나 노이즈를 줄이면서도 원래 품질을 잘 유지해줘. 그래서 너의 사진도 더 자연스럽고 보기 좋게 복원할 수 있어.
SwinIR (Jpeg10),Restoration-SwinIR-Jpeg10,There are some annoying JPEG artifacts in this photo. Can you clean them up and make the photo look more natural?,"In this case, I recommend the SwinIR (Jpeg10) model. This model specializes in smoothly restoring compression artifacts and noise. It will also improve your image to a clean, natural result.",이런 경우에는 SwinIR (Jpeg10) 모델을 추천할게. 이 모델은 압축 흔적으로 인한 깨짐이나 노이즈를 부드럽게 복원해주는 데 특화되어 있어. 너의 이미지도 깔끔하고 자연스러운 결과로 개선할 수 있을 거야.
SwinIR (Jpeg20),Restoration-SwinIR-Jpeg20,The passport I scanned came out compressed and unclear. Can you recover the text and ID photo so they’re sharp again?,"In these cases, I recommend the SwinIR (Jpeg20) model. This model effectively restores text and faces blurred by compression, making it useful for restoring the clarity of information in important documents like passports.",이런 경우에는 SwinIR (Jpeg20) 모델을 추천할게. 이 모델은 압축으로 흐려진 글자나 얼굴을 효과적으로 복원해줘. 그래서 여권처럼 중요한 문서의 정보를 선명하게 되살리는 데 도움이 될 거야.
SwinIR (Jpeg20),Restoration-SwinIR-Jpeg20,I have a low-quality JPEG scan of my passport. Is there a way to enhance the personal data and face photo?,"In this case, I recommend the SwinIR (Jpeg20) model. This model excels at clearly retrieving key elements like text and faces even from compressed images. It will also significantly improve the quality of your passport image.",이런 경우에는 SwinIR (Jpeg20) 모델을 추천할게. 이 모델은 압축된 이미지에서도 텍스트와 얼굴 같은 핵심 요소를 또렷하게 복원하는 데 강점이 있어. 너의 여권 이미지도 훨씬 깔끔하게 정리할 수 있을 거야.
SwinIR (Jpeg20),Restoration-SwinIR-Jpeg20,The image of my passport is blurry and pixelated. Can you fix it so the details are readable and the photo looks clean?,"In this case, I recommend the SwinIR (Jpeg20) model. This model specializes in reducing compression artifacts while sharply reproducing even blurred information. This allows for clearer restoration of passport text and facial images.",이런 경우에는 SwinIR (Jpeg20) 모델을 추천할게. 이 모델은 압축 아티팩트를 줄이면서 흐릿한 정보도 선명하게 되살려주는 데 특화되어 있어. 그래서 여권 속 텍스트와 얼굴 사진을 더 명확하게 복원할 수 있어.
